"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"167",-3.67416,40.40511,105,"Entire home/apt",1,6,8,26,1,0.46,3,4,26,56,86,"t",2.8,7.5,4.5,4.65396035015752,1,2,3,5,4
"168",-3.68321,40.40776,80,"Entire home/apt",2,8,10,1,1,0.61,1,3,30,31,31,"t",2,7.1,3.9,4.38202663467388,2,2,3,1,3
"169",-3.6812,40.40317,70,"Entire home/apt",3,16,9,5,3,1.28,8,9,29,59,89,"f",2.4,7.6,3.9,4.24849524204936,2,4,1,5,5
"170",-3.67545,40.40126,54,"Entire home/apt",2,16,9,37,1,1.33,2,4,30,60,90,"t",2.9,7.9,4.3,3.98898404656427,4,1,3,2,4
"171",-3.66937,40.40499,60,"Entire home/apt",2,10,9,2,2,0.84,3,4,14,44,74,"f",3.2,7.5,4.9,4.0943445622221,1,1,2,5,3
"172",-3.67969,40.4065,26,"Entire home/apt",1,26,10,2,1,3.17,2,1,0,19,43,"f",2.3,7.3,4.2,3.25809653802148,3,4,1,4,1
"173",-3.67278,40.39734,60,"Entire home/apt",2,9,9,2,2,0.78,4,6,26,56,86,"f",3.4,8.3,4.4,4.0943445622221,4,3,3,2,4
"174",-3.69151,40.41491,186,"Entire home/apt",1,5,10,18,2,0.48,7,4,28,45,45,"t",1,6.4,3.8,5.2257466737132,4,2,2,2,3
"175",-3.69151,40.41491,163,"Entire home/apt",1,8,10,18,2,0.75,7,4,30,47,47,"t",1,6.4,3.8,5.09375020080676,2,1,3,5,2
"176",-3.69144,40.41278,176,"Entire home/apt",1,18,9,18,2,1.82,3,4,30,47,47,"t",1.1,6.6,3.7,5.17048399503815,4,4,3,5,4
"177",-3.69144,40.41278,176,"Entire home/apt",1,9,9,18,2,0.85,3,4,30,47,47,"t",1.1,6.6,3.7,5.17048399503815,3,1,2,6,5
"178",-3.69151,40.41491,186.14,"Entire home/apt",1,5,9,18,2,0.47,3,4,30,47,47,"t",1,6.4,3.8,5.22649907875756,3,2,1,3,4
"179",-3.67261,40.39961,53,"Entire home/apt",1,1,2,1,1,0.1,1,2,30,60,90,"t",3.2,8.1,4.5,3.97029191355212,1,3,2,3,1
"180",-3.67701,40.42145,84,"Entire home/apt",2,15,10,1,1,1.45,1,4,21,47,73,"t",2.3,5.6,5.2,4.43081679884331,2,2,1,4,1
"181",-3.67943,40.40386,70,"Entire home/apt",1,7,9,2,2,0.71,2,3,0,0,0,"t",2.5,7.6,4.1,4.24849524204936,2,2,3,6,5
"182",-3.67764,40.40342,162,"Entire home/apt",7,13,9,1,2,1.27,2,4,0,0,0,"t",2.6,7.6,4.2,5.08759633523238,4,1,2,3,4
"183",-3.67491,40.40374,227.86,"Entire home/apt",1,4,10,6,2,0.42,4,6,0,0,0,"t",2.8,7.6,4.4,5.42873140526997,1,2,2,2,3
"184",-3.67518,40.41444,68,"Entire home/apt",1,4,9,13,1,0.51,2,3,0,0,10,"t",2.4,6.4,4.9,4.21950770517611,1,4,1,3,4
"185",-3.68607,40.4077,299,"Entire home/apt",3,2,10,1,2,0.21,3,5,30,60,90,"t",1.8,7.1,3.7,5.70044357339069,2,2,2,1,2
"186",-3.67271,40.40073,51,"Entire home/apt",1,4,6,1,1,0.43,1,2,30,60,90,"t",3.1,8,4.5,3.93182563272433,4,2,2,2,4
"187",-3.67413,40.41867,75,"Entire home/apt",2,1,10,1,2,0.1,5,5,0,0,0,"t",2.5,6,5.2,4.31748811353631,2,1,3,5,2
"188",-3.66484,40.41041,100,"Entire home/apt",3,4,10,1,2,0.42,4,5,28,58,88,"f",3.3,7,5.5,4.60517018598809,4,3,2,6,5
"189",-3.67815,40.41762,86,"Entire home/apt",1,6,9,1,1,0.64,1,2,0,0,0,"f",2.1,6,4.9,4.45434729625351,2,1,3,6,1
"190",-3.6763,40.4184,110,"Entire home/apt",1,9,10,1,2,1.01,2,4,0,0,0,"t",2.3,6,5.1,4.70048036579242,2,4,2,1,5
"191",-3.68722,40.4071,137,"Entire home/apt",3,14,10,2,2,1.63,4,6,21,51,81,"t",1.7,7.2,3.6,4.91998092582813,4,1,1,5,5
"192",-3.67724,40.40439,75,"Entire home/apt",1,1,10,1,1,0.14,2,4,19,49,79,"t",2.6,7.5,4.3,4.31748811353631,3,1,1,3,3
"193",-3.67636,40.40377,80,"Entire home/apt",2,5,10,15,1,0.58,2,4,0,0,0,"t",2.7,7.6,4.3,4.38202663467388,1,3,2,6,4
"194",-3.66915,40.4001,60,"Entire home/apt",1,6,8,30,2,0.79,3,6,0,0,12,"f",3.4,8.1,4.8,4.0943445622221,4,3,1,4,3
"195",-3.67651,40.40907,160,"Entire home/apt",3,3,9,21,2,0.41,2,6,0,0,0,"t",2.4,7,4.5,5.07517381523383,2,3,1,6,2
"197",-3.67029,40.39872,54,"Entire home/apt",2,3,10,2,1,0.42,3,4,0,0,0,"t",3.4,8.2,4.7,3.98898404656427,2,3,3,2,4
"199",-3.68982,40.4152,365,"Entire home/apt",1,1,10,117,3,0.15,4,6,3,33,50,"t",1.2,6.3,4,5.89989735358249,1,4,1,6,4
"200",-3.67733,40.42138,62,"Entire home/apt",1,9,9,1,2,3.03,3,5,15,45,75,"t",2.3,5.6,5.2,4.12713438504509,2,2,2,3,3
"201",-3.68985,40.40792,78,"Entire home/apt",2,2,10,1,1,1.13,1,4,0,0,24,"t",1.5,7.1,3.5,4.35670882668959,2,3,2,1,3
"202",-3.67814,40.42075,91,"Entire home/apt",1,1,8,32,4,0.81,4,7,12,40,70,"t",2.2,5.7,5.1,4.51085950651685,1,3,2,1,6
"203",-3.67827,40.4197,350,"Entire home/apt",3,1,10,1,3,0.77,4,6,0,0,0,"t",2.2,5.8,5,5.85793315448346,4,2,2,4,6
"204",-3.69082,40.41435,150,"Entire home/apt",2,1,10,3,1,0.6,4,4,30,60,90,"f",1.1,6.4,3.8,5.01063529409626,4,2,1,3,2
